sleeper_id,canonical_player_id,full_name,identity_join_method,position_model,team,profile_team,team_changed,market_adp,market_adp_key,sleeper_market_projection,fie_season_mean,fie_ppg,p10,p25,p50,p75,p90,confidence,projection_source,scoring_coverage,scoring_unsupported,raw_projected_stats_per_game,active_return_scoring,validated_return_targets,driver_contributions_ppg,fie_position_rank,market_position_rank,comparison_eligible,rank_edge,reason
9224,00-0038597,Chase Brown,sleeper_id_to_canonical,RB,CIN,CIN,False,16.7,adp_ppr,255.2,255.2,15.011764705882351,224.4708693582177,238.78552187842143,254.7808223908285,271.5626201986093,286.5182848572599,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},7.0,10.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
8151,00-0038134,Kenneth Walker III,sleeper_id_to_canonical,RB,KC,SEA,False,19.7,adp_ppr,244.0,244.0,14.352941176470589,212.41614392295972,227.6094774115363,243.7395376447082,260.67457467961964,275.3812593906577,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},10.0,11.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
3198,00-0032764,Derrick Henry,sleeper_id_to_canonical,RB,BAL,BAL,False,20.2,adp_ppr,246.9,246.9,14.523529411764704,215.9050669777509,230.4494209986678,246.74536123157836,262.8213425274276,278.22221675463254,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},8.0,12.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
13287,00-0041027,Jeremiyah Love,unmatched,RB,ARI,,False,26.7,adp_ppr,211.8,211.8,12.458823529411765,180.90910921113817,194.94235867367144,211.43124847517845,227.91197378595191,243.37136993684632,62,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},13.0,13.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
8150,00-0037840,Kyren Williams,sleeper_id_to_canonical,RB,LAR,LA,False,29.5,adp_ppr,208.0,208.0,12.235294117647058,177.59725438954032,191.5409445388616,207.4654371826623,223.8976300925005,238.95547029804223,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},15.0,14.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
5850,00-0035700,Josh Jacobs,sleeper_id_to_canonical,RB,GB,GB,False,31.7,adp_ppr,202.6,202.6,11.917647058823531,172.00991423106703,185.59889824240284,201.8582892592086,219.01462227036365,234.1349369875899,65,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},20.0,15.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
8155,00-0038120,Breece Hall,sleeper_id_to_canonical,RB,NYJ,NYJ,False,33.5,adp_ppr,211.0,211.0,12.411764705882351,180.41807192322375,194.6214943200471,210.78220025983148,227.3339467352425,241.95628530564596,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},14.0,16.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
7588,00-0036997,Javonte Williams,sleeper_id_to_canonical,RB,DAL,DAL,False,35.8,adp_ppr,207.3,207.3,12.194117647058825,176.90000294381204,190.60920598068995,206.87213483837613,223.20473257036417,238.0818138484859,66,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},18.0,17.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
11584,00-0039361,Bucky Irving,sleeper_id_to_canonical,RB,TB,TB,False,41.7,adp_ppr,197.3,197.3,11.605882352941178,166.8130296697248,180.68884189977288,196.88851975870617,213.05844378477596,228.1561185033993,64,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},22.0,18.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
12481,00-0040715,Cam Skattebo,sleeper_id_to_canonical,RB,NYG,NYG,False,43.6,adp_ppr,201.2,201.2,11.835294117647058,171.17826821312818,184.79092258585231,200.7512187621655,217.1676864838849,232.1614633561829,64,MARKET_FALLBACK,0.0,no_validated_preseason_spec,{},,,{},21.0,19.0,False,,market fallback: preseason FIE gate/player profile unavailable; scoring gaps: no_validated_preseason_spec
