test_season,model,decile,n,mean_prediction,mean_actual,bias
2025,ENSEMBLE,7,5,14.101083782160263,10.185965266106443,3.9151185160538198
2025,ENSEMBLE,8,5,15.643877988008066,16.31287091503268,-0.6689929270246129
2025,ENSEMBLE,9,5,16.705411695833995,16.818313445378156,-0.11290174954416088
2025,ENSEMBLE,10,6,20.154694878385776,18.064244236156004,2.090450642229772
2025,V972,1,6,4.2216368457757065,3.0775,1.1441368457757064
2025,V972,2,5,6.21510650321293,7.095222222222222,-0.8801157190092921
2025,V972,3,5,7.696499090928304,9.836395382395382,-2.1398962914670783
2025,V972,4,5,9.95587860937451,11.577351633986927,-1.621473024612417
2025,V972,5,6,11.434038856883005,10.71437908496732,0.7196597719156852
2025,V972,6,5,13.253139191275897,13.072431092436977,0.18070809883892025
2025,V972,7,5,14.448109167402311,10.185965266106443,4.262143901295868
2025,V972,8,5,15.866086086647709,15.453341503267975,0.41274458337973385
2025,V972,9,5,16.982319134792252,17.677842857142856,-0.6955237223506039
2025,V972,10,6,20.526307490268824,18.064244236156004,2.4620632541128202
2025,M9,1,6,3.798566910224564,4.178055555555555,-0.37948864533099114
2025,M9,2,5,6.629505532058227,7.9806984126984135,-1.3511928806401867
2025,M9,3,5,9.83937850814633,7.257117647058824,2.582260861087506
2025,M9,4,5,10.58895213766927,7.612052525252525,2.9768996124167453
2025,M9,5,6,12.130269399570318,10.674949531949531,1.455319867620787
2025,M9,6,5,12.967708873520937,15.303900980392157,-2.33619210687122
2025,M9,7,5,13.735267322114677,15.141494828700711,-1.4062275065860348
2025,M9,8,5,14.948353596073838,17.109809523809524,-2.1614559277356857
2025,M9,9,5,15.781661285477046,13.444977777777776,2.33668350769927
2025,M9,10,6,18.808645452910934,17.87686678517561,0.9317786677353226
